OID_,STATUS,TYPE,LAT,LON
87,Active,Gasoline,29.740193410000000,-95.01556072
88,Active,Gasoline,29.740298740000000,-95.01572904
89,Active,Gasoline,29.740116059999998,-95.01585112
90,Active,Gasoline,29.740222119999999,-95.01604405
91,Active,Gasoline,29.740397640000001,-95.01592224
92,Active,Gasoline,29.740805309999999,-95.01535015
93,Active,Gasoline,29.741492839999999,-95.01485526
94,Active,Benzene,29.741918060000000,-95.01565977
95,Active,Benzene,29.741200180000000,-95.01616187
96,Active,Benzene,29.741661629999999,-95.01685218
97,Active,Gasoline,29.740985240000001,-95.01706309
98,Active,Gasoline,29.741160600000001,-95.01741753
99,Active,Gasoline,29.742418460000000,-95.01651882
100,Active,Gasoline,29.743017890000001,-95.01601699
101,Active,Gasoline,29.742525329999999,-95.01511657
102,Active,Gasoline,29.743716650000000,-95.01589938
103,Active,Gasoline,29.744017840000001,-95.01566591
104,Active,Gasoline,29.743585700000001,-95.01559246
105,Active,Gasoline,29.743845159999999,-95.01540168
106,Active,Gasoline,29.743685820000000,-95.01510409
107,Active,Gasoline,29.743389109999999,-95.01524706
108,Active,Gasoline,29.743511439999999,-95.01478245
109,Active,Gasoline,29.743331359999999,-95.0145103
110,Active,Gasoline,29.742921670000001,-95.01446882
111,Active,Gasoline,29.743149570000000,-95.01418074
112,Active,Gasoline,29.742975430000001,-95.0138673
113,Active,Gasoline,29.742808690000000,-95.01356179
114,Active,Gasoline,29.742332050000002,-95.01295636
115,Active,Diesel,29.741315369999999,-95.01130075
116,Active,Diesel,29.740618930000000,-95.00802979
117,Active,Diesel,29.740913920000001,-95.00782939
118,Active,Diesel,29.740730410000001,-95.00744244
119,Active,Diesel,29.741039470000000,-95.00723328
120,Active,Diesel,29.740850259999998,-95.00689582
121,Active,Diesel,29.741193620000001,-95.00759674
122,Active,Diesel,29.741412189999998,-95.00795769
123,Active,Diesel,29.741117689999999,-95.00817449
124,Active,Diesel,29.740786419999999,-95.00835989
125,Active,Diesel,29.741608310000000,-95.00828668
126,Active,Diesel,29.741814519999998,-95.0087138
127,Active,Diesel,29.741519520000001,-95.0089142
128,Active,Diesel,29.741210949999999,-95.00913976
129,Active,Diesel,29.741407310000000,-95.00947694
130,Active,Diesel,29.741708480000000,-95.00924346
